3.20109,8.56446,-1.98164
5.12034,9.22055,-1.98164
6.36662,5.57482,-1.98164
4.44737,4.91873,-1.98164
3.20109,8.56446,-0.476343
5.12034,9.22055,-0.476343
6.36662,5.57482,-0.476343
4.44737,4.91873,-0.476343
10.2072,-1.0417,-1.75875
10.8919,-3.05511,-1.75875
7.03225,-4.36769,-1.75875
6.34754,-2.35428,-1.75875
10.2072,-1.0417,-0.231131
10.8919,-3.05511,-0.231131
7.03225,-4.36769,-0.231131
6.34754,-2.35428,-0.231131
-22.7456,16.1519,-2.35439
-21.4927,16.1301,-2.35439
-21.5197,14.5737,-2.35439
-22.7727,14.5955,-2.35439
-22.7456,16.1519,-1.10131
-21.4927,16.1301,-1.10131
-21.5197,14.5737,-1.10131
-22.7727,14.5955,-1.10131
-18.7235,12.6161,-2.26711
-17.5169,11.5545,-2.26711
-19.9393,8.80136,-2.26711
-21.1459,9.86295,-2.26711
-18.7235,12.6161,-0.73457
-17.5169,11.5545,-0.73457
-19.9393,8.80136,-0.73457
-21.1459,9.86295,-0.73457
-25.7827,21.0286,-2.60588
-24.4687,22.0264,-2.60588
-23.2409,20.4096,-2.60588
-24.5548,19.4117,-2.60588
-25.7827,21.0286,-1.19129
-24.4687,22.0264,-1.19129
-23.2409,20.4096,-1.19129
-24.5548,19.4117,-1.19129
-25.0605,25.4072,-2.64589
-23.9424,23.9091,-2.64589
-25.689,22.6055,-2.64589
-26.8072,24.1036,-2.64589
-25.0605,25.4072,-1.32424
-23.9424,23.9091,-1.32424
-25.689,22.6055,-1.32424
-26.8072,24.1036,-1.32424
22.7738,10.2803,-1.9047
24.5575,10.5869,-1.9047
25.179,6.97064,-1.9047
23.3952,6.66411,-1.9047
22.7738,10.2803,-0.453144
24.5575,10.5869,-0.453144
25.179,6.97064,-0.453144
23.3952,6.66411,-0.453144
25.3144,10.3745,-1.48398
26.3961,10.5721,-1.48398
27.0221,7.14489,-1.48398
25.9404,6.9473,-1.48398
25.3144,10.3745,-0.371131
26.3961,10.5721,-0.371131
27.0221,7.14489,-0.371131
25.9404,6.9473,-0.371131
32.6895,8.19889,-0.682053
32.9133,8.69329,-0.682053
33.6251,8.37108,-0.682053
33.4013,7.87668,-0.682053
32.6895,8.19889,-0.51008
32.9133,8.69329,-0.51008
33.6251,8.37108,-0.51008
33.4013,7.87668,-0.51008
27.8296,8.35411,-1.61102
29.3651,8.42608,-1.61102
29.4575,6.45436,-1.61102
27.922,6.38239,-1.61102
27.8296,8.35411,-0.213118
29.3651,8.42608,-0.213118
29.4575,6.45436,-0.213118
27.922,6.38239,-0.213118
-22.7456,19.2987,-2.53491
-21.8052,17.3815,-2.53491
-25.4845,15.5768,-2.53491
-26.4249,17.4939,-2.53491
-22.7456,19.2987,-0.535406
-21.8052,17.3815,-0.535406
-25.4845,15.5768,-0.535406
-26.4249,17.4939,-0.535406
37.3046,9.2947,-1.79788
38.5465,9.51586,-1.79788
38.9576,7.20761,-1.79788
37.7157,6.98645,-1.79788
37.3046,9.2947,-0.336918
38.5465,9.51586,-0.336918
38.9576,7.20761,-0.336918
37.7157,6.98645,-0.336918
41.4759,1.48024,-1.06496
42.6624,0.13104,-1.06496
39.8663,-2.328,-1.06496
38.6798,-0.9788,-1.06496
41.4759,1.48024,0.332269
42.6624,0.13104,0.332269
39.8663,-2.328,0.332269
38.6798,-0.9788,0.332269
